experiment,step,loss,loss_ma25
GT LoRA,5840,0.00485100,0.02837324
GT LoRA,5850,0.00252300,0.02653588
GT LoRA,5860,0.02199500,0.02738312
GT LoRA,5870,0.02261600,0.02809236
GT LoRA,5880,0.05984700,0.03006380
GT LoRA,5890,0.00596200,0.03027024
GT LoRA,5900,0.03031500,0.03064844
GT LoRA,5910,0.04148300,0.03003168
GT LoRA,5920,0.01271200,0.02775812
GT LoRA,5930,0.01449200,0.02677868
GT LoRA,5940,0.04415200,0.02842148
GT LoRA,5950,0.00354900,0.02810948
GT LoRA,5960,0.07134200,0.03038536
GT LoRA,5970,0.00054600,0.02863752
GT LoRA,5980,0.00449500,0.02679596
GT LoRA,5990,0.00038800,0.02631252
GT LoRA,6000,0.05209800,0.02765700
GT LoRA,6010,0.03219500,0.02607240
GT LoRA,6020,0.00688800,0.02575356
GT LoRA,6030,0.02632700,0.02403412
GT LoRA,6040,0.01784700,0.02307188
GT LoRA,6050,0.00900700,0.02182708
GT LoRA,6060,0.02715300,0.02154332
GT LoRA,6070,0.00165300,0.02099148
GT LoRA,6080,0.00000000,0.02057744
GT LoRA,6090,0.00162500,0.02044840
GT LoRA,6100,0.02528700,0.02135896
GT LoRA,6110,0.01207700,0.02096224
GT LoRA,6120,0.00065000,0.02008360
GT LoRA,6130,0.02044600,0.01850756
GT LoRA,6140,0.00239300,0.01836480
GT LoRA,6150,0.00428600,0.01732364
GT LoRA,6160,0.02044100,0.01648196
GT LoRA,6170,0.05040700,0.01798976
GT LoRA,6180,0.02014600,0.01821592
GT LoRA,6190,0.01446400,0.01702840
GT LoRA,6200,0.00122400,0.01693540
GT LoRA,6210,0.01528500,0.01469312
GT LoRA,6220,0.02325500,0.01560148
GT LoRA,6230,0.00487700,0.01561676
GT LoRA,6240,0.00427700,0.01577232
GT LoRA,6250,0.00171300,0.01375692
GT LoRA,6260,0.01244900,0.01296708
GT LoRA,6270,0.00576900,0.01292232
GT LoRA,6280,0.00425200,0.01203932
GT LoRA,6290,0.04182300,0.01299836
GT LoRA,6300,0.00749000,0.01293768
GT LoRA,6310,0.00467400,0.01203852
GT LoRA,6320,0.02275000,0.01288240
GT LoRA,6330,0.00774500,0.01319220
GT LoRA,6340,0.07098600,0.01596664
GT LoRA,6350,0.04581500,0.01678776
GT LoRA,6360,0.07773300,0.01941400
